"","firm","employee_id","salary"
"1","A",1,126.61340906652
"2","A",2,123.443633831388
"3","A",3,129.044605609627
"4","A",4,119.785691801266
"5","A",5,102.088566087114
"6","A",6,128.253017001915
"7","A",7,120.28845970126
"8","A",8,131.801640780298
"9","A",9,134.887216390309
"10","A",10,132.846135832938
"11","A",11,129.867537177649
"12","A",12,122.532501771502
"13","A",13,121.471110196512
"14","A",14,120.829773416444
"15","A",15,127.52403409519
"16","A",16,129.989885420528
"17","A",17,126.127567885811
"18","A",18,129.059146179327
"19","A",19,133.096323432432
"20","A",20,115.863276615739
"21","A",21,128.874392818123
"22","A",22,126.37150130953
"23","A",23,118.062455036817
"24","A",24,137.345952136669
"25","A",25,130.477167520787
"26","A",26,146.816022202835
"27","A",27,131.883565652079
"28","A",28,127.529851522843
"29","A",29,127.073250615138
"30","A",30,129.161086451829
"31","A",31,123.734529417452
"32","A",32,125.671153625711
"33","A",33,111.488508542665
"34","A",34,123.140728684081
"35","A",35,132.805216046937
"36","A",36,125.187811571765
"37","A",37,148.216930623841
"38","A",38,128.902182699384
"39","A",39,114.906143561077
"40","A",40,118.750124545328
"41","A",41,97.8713723733952
"42","A",42,137.525823550245
"43","A",43,142.679921753698
"44","A",44,123.466659501032
"45","A",45,110.911065274017
"46","A",46,118.49305570196
"47","A",47,146.549273052198
"48","A",48,119.286011229375
"49","A",49,126.671406490004
"50","A",50,113.760179947475
"51","A",51,135.623483909069
"52","A",52,113.64222642237
"53","A",53,126.711329209999
"54","A",54,126.466780748456
"55","A",55,124.883348824578
"56","A",56,109.26102495969
"57","A",57,112.390133434448
"58","A",58,116.468442811681
"59","A",59,120.605087147066
"60","A",60,123.417400300147
"61","A",61,126.246594704198
"62","A",62,117.3740759733
"63","A",63,121.97400324603
"64","A",64,132.391546928992
"65","A",65,137.863241705085
"66","A",66,115.082108995495
"67","A",67,129.054179335798
"68","A",68,133.181296776667
"69","A",69,110.961694239445
"70","A",70,123.050845600801
"71","A",71,108.40007295915
"72","A",72,123.254770424114
"73","A",73,130.771822129268
"74","A",74,127.539783545825
"75","A",75,123.803077116804
"76","A",76,109.774075120954
"77","A",77,126.471672962164
"78","A",78,120.526907530116
"79","A",79,132.134413656466
